time,country,province,city,cum_confirm,cum_heal,cum_dead
1/24/20,China,Chongqing,Chengkou District,1,0,0
1/24/20,China,Chongqing,Fengdu County,1,0,0
1/24/20,China,Chongqing,Dianjiang County,2,0,0
1/24/20,China,Chongqing,Zhong County,3,0,0
1/24/20,China,Chongqing,Yunyang County,2,0,0
1/24/20,China,Chongqing,Fengjie County,1,0,0
1/24/20,China,Chongqing,Wushan County,3,0,0
1/24/20,China,Chongqing,Wuxi County,2,0,0
1/24/20,China,Chongqing,Shizhu County,3,0,0
1/24/20,China,Chongqing,Xiushan County,1,0,0
1/24/20,China,Heilongjiang,Harbin,6,0,0
1/24/20,China,Heilongjiang,Daqing,1,0,0
1/24/20,China,Heilongjiang,Mudanjiang,1,0,0
1/24/20,China,Heilongjiang,Suihua,1,0,1
1/25/20,China,Fujian,Fuzhou,6,0,0
1/25/20,China,Shandong,Qingdao,6,0,0
1/25/20,China,Fujian,Sanming,1,0,0
1/25/20,China,Shandong,Weihai,4,0,0
1/25/20,China,Fujian,Xiamen,3,0,0
1/25/20,China,Fujian,Ningde,2,0,0
1/25/20,China,Ningxia,Yinchuan,2,0,0
1/25/20,China,Shandong,Yantai,2,0,0
1/25/20,China,Shandong,Dezhou,3,0,0
1/25/20,China,Shandong,Liaocheng,1,0,0
1/25/20,China,Shandong,Heze,1,0,0
1/25/20,China,Fujian,Quanzhou,3,0,0
1/25/20,China,Fujian,Zhangzhou,3,0,0
1/25/20,China,Yunnan,Kunming,4,0,0
1/25/20,China,Yunnan,Qujing,1,0,0
1/25/20,China,Yunnan,Yuxi,1,0,0
1/25/20,China,Yunnan,Lijiang,2,0,0
1/25/20,China,Yunnan,NA,1,0,0
1/25/20,China,Yunnan,Xishuangbanna,1,0,0
1/25/20,China,Yunnan,NA,1,0,0
1/25/20,China,Inner Mongolia,Chifeng,1,0,0
1/25/20,China,Inner Mongolia,Ordos,2,0,0
1/25/20,China,Inner Mongolia,Hulunbuir,2,0,0
